x,y,z,qx,qy,qz,qw,vx,vy,vz,vroll,vpitch,vyaw,ax,ay,az,aroll,apitch,ayaw
0.554187,-0.000312231,0.62419,0.924207,-0.381891,-0.000785233,-0.000549884,-0.00600444,-0.00600444,-0.00600444,0.031096,0.0198104,0.031096,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554181,-0.000318264,0.624184,0.924213,-0.381876,-0.000800406,-0.000560509,-0.00606218,-0.00606218,-0.00606218,0.031395,0.0200008,0.031395,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554175,-0.000324355,0.624178,0.924219,-0.381862,-0.000815725,-0.000571236,-0.00611991,-0.00611991,-0.00611991,0.031694,0.0201913,0.031694,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554168,-0.000330504,0.624171,0.924225,-0.381847,-0.000831189,-0.000582065,-0.00617765,-0.00617765,-0.00617765,0.031993,0.0203818,0.031993,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554162,-0.000336711,0.624165,0.924231,-0.381832,-0.000846797,-0.000592996,-0.00623538,-0.00623538,-0.00623538,0.032292,0.0205723,0.032292,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554156,-0.000342975,0.624159,0.924237,-0.381817,-0.000862551,-0.000604028,-0.00629312,-0.00629312,-0.00629312,0.032591,0.0207628,0.032591,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.55415,-0.000349297,0.624153,0.924243,-0.381802,-0.000878451,-0.000615162,-0.00635085,-0.00635085,-0.00635085,0.03289,0.0209533,0.03289,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554143,-0.000355677,0.624146,0.92425,-0.381787,-0.000894495,-0.000626398,-0.00640859,-0.00640859,-0.00640859,0.033189,0.0211437,0.033189,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554137,-0.000362114,0.62414,0.924256,-0.381771,-0.000910685,-0.000637735,-0.00646632,-0.00646632,-0.00646632,0.033488,0.0213342,0.033488,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.55413,-0.000368609,0.624133,0.924262,-0.381756,-0.000927019,-0.000649174,-0.00652406,-0.00652406,-0.00652406,0.033787,0.0215247,0.033787,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554124,-0.000375162,0.624127,0.924269,-0.38174,-0.000943499,-0.000660714,-0.00658179,-0.00658179,-0.00658179,0.034086,0.0217152,0.034086,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554117,-0.000381773,0.62412,0.924275,-0.381724,-0.000960125,-0.000672357,-0.00663953,-0.00663953,-0.00663953,0.034385,0.0219057,0.034385,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554111,-0.000388441,0.624114,0.924282,-0.381708,-0.000976895,-0.000684101,-0.00669726,-0.00669726,-0.00669726,0.034684,0.0220962,0.034684,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554104,-0.000395167,0.624107,0.924288,-0.381692,-0.000993811,-0.000695946,-0.006755,-0.006755,-0.006755,0.034983,0.0222866,0.034983,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554097,-0.000401951,0.6241,0.924295,-0.381676,-0.00101087,-0.000707894,-0.00681273,-0.00681273,-0.00681273,0.035282,0.0224771,0.035282,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.55409,-0.000408793,0.624093,0.924302,-0.381659,-0.00102808,-0.000719943,-0.00687047,-0.00687047,-0.00687047,0.035581,0.0226676,0.035581,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
